representation,held_context,selected_k,inner_mean_Q_excess_k1,inner_mean_Q_excess_k3,inner_mean_Q_excess_k5,inner_mean_Q_excess_k7,neighbors,neighbor_distances,neighbor_weights,oracle_beta,selected_beta,baseline_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline,predicted_Q_margin,predicted_vs_true_Q_spearman
raw_height,rough_seed_29,5,0.22065044168681872,0.3114425634912016,0.210991489386,0.3359724064952779,rough_seed_25|rough_seed_17|rough_seed_0|rough_seed_4|rough_seed_41,12.9875064|14.225124|14.3814832|14.9856946|15.1371816,0.0769970689|0.0702981519|0.0695338522|0.0667303027|0.0660624917,lm060_ls040_le000,lm020_ls080_le000,lm080_ls020_le000,4,0,0,1,0.03445298477442384,0.01807345113361848,0,0.04590241821104579,0.9181818181818181
raw_height,rough_seed_18,5,0.22856968050196325,0.18695076604866442,0.18065060846997702,0.19336538919546387,rough_seed_6|rough_seed_13|rough_seed_30|rough_seed_31|rough_seed_4,10.3605543|11.7436351|12.1800837|12.9621297|13.7433572,0.0965199227|0.0851525023|0.0821012355|0.07714781|0.07276242,lm000_ls100_le000,lm020_ls080_le000,lm080_ls020_le000,6,0,0,0,0.8790905326088567,1.6530904404215563,1,0.009016464111809563,0.7103896103896103
raw_height,rough_seed_10,5,0.22756037301472282,0.3055621685212176,0.20744178567137467,0.564334555567913,rough_seed_38|rough_seed_28|rough_seed_41|rough_seed_17|rough_seed_40,14.2125588|14.5661635|15.0823116|15.9782991|16.8703167,0.0703603022|0.0686522524|0.0663028296|0.0625848805|0.0592757065,lm060_ls020_le020,lm000_ls100_le000,lm080_ls020_le000,18,0,0,0,0.2560874033297659,0.04660870274838702,0,0.043762881959610894,0.1753246753246753
raw_height,rough_seed_8,1,0.20359581658652504,0.3123039323110596,0.21363219094848912,0.33657068887499997,rough_seed_6,8.7832345,0.113853261,lm080_ls020_le000,lm000_ls080_le020,lm080_ls020_le000,11,0,0,0,0.7668658057023279,0.0,0,0.05415995028104853,0.5389610389610389
raw_height,rough_seed_22,5,0.22164076504876323,0.32040582165566256,0.21058383267516284,0.29964675722823664,rough_seed_20|rough_seed_4|rough_seed_12|rough_seed_25|rough_seed_39,10.4560132|12.0791242|12.2054312|12.2400819|12.3735602,0.0956387376|0.0827874524|0.0819307322|0.081698793|0.0808174773,lm040_ls040_le020,lm060_ls040_le000,lm080_ls020_le000,9,0,0,0,0.15554189920854525,0.14102356059836776,0,0.01572572908414077,0.5779220779220778
raw_height,rough_seed_20,1,0.22492056801525617,0.32639467095170455,0.22529371183172148,0.35489346972624025,rough_seed_25,7.57034755,0.132094314,lm000_ls060_le040,lm040_ls040_le020,lm080_ls020_le000,10,0,0,0,0.13589150167133868,0.14667944598463062,1,0.04243296253805419,0.0012987012987012987
raw_height,rough_seed_28,5,0.20868220501255452,0.3014352986140641,0.1889861574279771,0.3116208253990047,rough_seed_40|rough_seed_47|rough_seed_20|rough_seed_41|rough_seed_5,10.0830768|10.4790347|10.9929569|11.0211386|11.1268959,0.0991760669|0.095428628|0.0909673275|0.0907347189|0.0898723162,lm000_ls100_le000,lm040_ls040_le020,lm080_ls020_le000,9,0,0,0,0.6179655636381415,0.2066409730589126,0,0.00896710476451204,0.28051948051948056
raw_height,rough_seed_17,5,0.22342625471595498,0.3245399828250405,0.21462419069403366,0.3505343220400088,rough_seed_38|rough_seed_39|rough_seed_25|rough_seed_41|rough_seed_5,9.00107145|10.3786251|11.4595462|12.1009918|12.2444195,0.111097873|0.0963518671|0.0872634828|0.0826378478|0.0816698511,lm100_ls000_le000,lm060_ls020_le020,lm080_ls020_le000,3,0,1,1,0.14204112922934917,0.19233300719603325,1,0.010015614075204987,0.9207792207792208
semantic_regions,rough_seed_13,3,0.4828367706526381,0.20024364599843175,0.2685812031799326,0.21629771495680328,rough_seed_18|rough_seed_15|rough_seed_30,8.64552014|10.6003072|11.0208864,0.115666827|0.0943368797|0.0907367951,lm080_ls020_le000,lm040_ls040_le020,lm080_ls020_le000,18,0,0,0,0.11435036959168626,0.0,0,0.007284197003748383,-0.2727272727272727
semantic_regions,rough_seed_7,5,0.8161978938828436,0.31906938658712136,0.1999515872720856,0.2287288119412033,rough_seed_20|rough_seed_38|rough_seed_5|rough_seed_17|rough_seed_10,9.08377184|9.28538553|9.55742988|9.5966495|10.0827737,0.110086416|0.107696109|0.104630628|0.104203024|0.0991790487,lm000_ls060_le040,lm060_ls020_le020,lm080_ls020_le000,15,0,0,0,0.11608609226524153,0.11426225020779207,0,0.0065466547642873685,0.16753246753246753
semantic_regions,rough_seed_15,5,0.4819130352458465,0.3351640304627236,0.20118212546119346,0.2628072184717925,rough_seed_42|rough_seed_30|rough_seed_8|rough_seed_13|rough_seed_32,9.80209362|10.1267437|10.1469723|10.6473034|11.675887,0.102019011|0.098748416|0.0985515556|0.0939204858|0.0856465909,lm060_ls040_le000,lm080_ls020_le000,lm080_ls020_le000,2,0,1,1,0.0068616204234064615,0.0068616204234064615,0,0.008996344349320617,0.764935064935065
semantic_regions,rough_seed_0,5,0.48588180013062165,0.3284747745842302,0.18992272761376616,0.21510987919078556,rough_seed_6|rough_seed_32|rough_seed_4|rough_seed_20|rough_seed_30,8.29362932|8.96476443|9.04793676|9.3395846|9.64983171,0.12057446|0.111547816|0.110522422|0.107071132|0.103628739,lm100_ls000_le000,lm020_ls080_le000,lm080_ls020_le000,14,0,0,0,0.15913808732990542,0.1191408580715218,0,0.04753647321625032,0.16493506493506493
semantic_regions,rough_seed_5,7,0.471748916027828,0.33154914161860183,0.2063028293913129,0.20109890750483822,rough_seed_40|rough_seed_39|rough_seed_41|rough_seed_22|rough_seed_11|rough_seed_31|rough_seed_4,6.04941843|6.2063716|6.43242711|7.05151522|7.51879936|7.52566039|7.83103284,0.165305119|0.161124712|0.155462289|0.141813472|0.132999941|0.132878686|0.12769706,lm060_ls020_le020,lm020_ls080_le000,lm080_ls020_le000,11,0,0,0,0.11916955103953375,0.04604145419202896,0,0.0009241790759136892,0.6467532467532467
semantic_regions,rough_seed_11,3,0.8195260480666958,0.2109131887199106,0.27702973400815334,0.7563772854519699,rough_seed_4|rough_seed_39|rough_seed_5,6.95785015|7.26500315|7.58751187,0.143722534|0.137646171|0.131795493,lm020_ls080_le000,lm020_ls080_le000,lm080_ls020_le000,1,1,1,1,0.0,0.03577286759580989,1,0.004158224008438904,0.974025974025974
semantic_regions,rough_seed_4,3,0.4989533103351833,0.3414100314154106,0.34546128813448146,0.37624194445840975,rough_seed_11|rough_seed_6|rough_seed_31,6.90348176|6.91606003|7.53835458,0.144854421|0.144590974|0.132654926,lm020_ls080_le000,lm020_ls080_le000,lm080_ls020_le000,1,1,1,1,0.0,0.167424333212578,1,0.009403356198509627,0.9441558441558441
semantic_regions,rough_seed_25,5,0.5050210444275242,0.2041059682991295,0.19927935951491815,0.2647776553590327,rough_seed_12|rough_seed_41|rough_seed_11|rough_seed_39|rough_seed_6,7.14247949|7.64674968|8.36079418|8.37179177|8.92211255,0.140007383|0.1307745|0.119605848|0.119448728|0.112081066,lm040_ls040_le020,lm100_ls000_le000,lm080_ls020_le000,4,0,0,1,0.17697867292882175,0.2333729512036904,1,0.01602790787316022,0.5701298701298702
semantic_regions,rough_seed_12,5,0.4959649488094989,0.3366458373112722,0.20212584535179523,0.2234880254295724,rough_seed_25|rough_seed_41|rough_seed_6|rough_seed_40|rough_seed_5,7.0798647|8.42154967|9.16778434|9.26606812|9.72368032,0.141245617|0.118742977|0.109077598|0.107920628|0.102841709,lm100_ls000_le000,lm040_ls040_le020,lm080_ls020_le000,2,0,1,1,0.0023523746305496585,0.27336439191352324,1,0.026492481664519618,0.8480519480519481
semantic_regions,rough_seed_6,5,0.4849480113954091,0.3367655139017483,0.19940635708199084,0.21784284426451278,rough_seed_4|rough_seed_31|rough_seed_11|rough_seed_0|rough_seed_25,7.02475815|7.6669023|7.78852976|8.2767468|8.81664957,0.142353635|0.130430757|0.128393921|0.120820402|0.113421757,lm000_ls080_le020,lm060_ls040_le000,lm080_ls020_le000,10,0,0,0,0.13152902922354495,0.19646303752110775,1,0.0006468068199633192,0.6467532467532467
semantic_regions,rough_seed_29,5,0.46972410867658976,0.3265900075654644,0.19317556259551588,0.21370343204868314,rough_seed_32|rough_seed_17|rough_seed_37|rough_seed_18|rough_seed_36,9.56178104|10.1833935|10.5372869|10.7854891|10.8894942,0.104583016|0.0981990826|0.0949010799|0.0927171591|0.0918316211,lm060_ls040_le000,lm000_ls080_le020,lm080_ls020_le000,9,0,0,0,0.2257992612852941,0.01807345113361848,0,0.053481419155760324,0.6844155844155844
semantic_regions,rough_seed_18,5,0.633888567902257,0.1506143021355994,0.13227320974215162,0.17142810566846378,rough_seed_36|rough_seed_13|rough_seed_32|rough_seed_4|rough_seed_11,8.19250293|8.32280794|8.69936837|8.75323827|8.9118227,0.122062804|0.120151743|0.114950861|0.114243421|0.112210478,lm000_ls100_le000,lm080_ls020_le000,lm080_ls020_le000,8,0,0,0,1.6530904404215563,1.6530904404215563,0,0.007987048859074308,0.6805194805194805
semantic_regions,rough_seed_10,3,0.3433069274997161,0.19218385419412226,0.19455507630741128,0.25315893400533906,rough_seed_28|rough_seed_20|rough_seed_7,9.44773901|10.295694|10.6001856,0.105845419|0.0971279744|0.0943379621,lm060_ls020_le020,lm000_ls100_le000,lm080_ls020_le000,18,0,0,0,0.2560874033297659,0.04660870274838702,0,0.047146323716450944,0.20909090909090908
semantic_regions,rough_seed_8,5,0.49507723534850817,0.45801567325206616,0.32563356722589926,0.353831486817356,rough_seed_30|rough_seed_31|rough_seed_15|rough_seed_22|rough_seed_17,9.66298836|9.7786307|9.96735737|10.1232764|10.1998726,0.103487644|0.102263796|0.100327485|0.0987822382|0.0980404306,lm080_ls020_le000,lm100_ls000_le000,lm080_ls020_le000,2,0,1,1,0.0016479083801680394,0.0,0,0.02429541413140024,0.7909090909090909
semantic_regions,rough_seed_22,5,0.4827076130593002,0.3399826329471197,0.20583424712762677,0.24670692150314738,rough_seed_5|rough_seed_40|rough_seed_39|rough_seed_41|rough_seed_20,7.18237357|8.15811829|8.67489552|8.78139818|8.80866377,0.13922972|0.122577271|0.11527515|0.113877069|0.113524584,lm040_ls040_le020,lm020_ls060_le020,lm080_ls020_le000,2,0,1,1,0.016188689692364505,0.14102356059836776,1,0.016047247516933816,0.8324675324675326
semantic_regions,rough_seed_20,5,0.48219517453985444,0.3266175947926978,0.20077907700591585,0.3017584740763598,rough_seed_41|rough_seed_5|rough_seed_4|rough_seed_11|rough_seed_39,7.71565695|8.04032017|8.07668481|8.46939717|8.53734991,0.129606575|0.124373141|0.123813161|0.118072144|0.117132353,lm000_ls060_le040,lm020_ls080_le000,lm080_ls020_le000,14,0,0,0,0.21856784065894158,0.14667944598463062,0,0.008185206626964647,-0.07532467532467534
semantic_regions,rough_seed_28,5,0.7947428126233589,0.302618087695699,0.17584376952327047,0.19057453490136905,rough_seed_47|rough_seed_10|rough_seed_20|rough_seed_41|rough_seed_5,9.28078509|9.29090052|9.77919693|10.3500286|10.5245142,0.107749493|0.107632182|0.102257875|0.0966180815|0.0950162526,lm000_ls100_le000,lm040_ls040_le020,lm080_ls020_le000,9,0,0,0,0.6179655636381415,0.2066409730589126,0,0.002934069272188755,0.2857142857142857
semantic_regions,rough_seed_17,5,0.4761388811866547,0.3209942193237065,0.19786112369473743,0.2121552659209967,rough_seed_39|rough_seed_41|rough_seed_5|rough_seed_7|rough_seed_22,8.28933762|9.00274815|9.26557899|9.51710879|9.71746439,0.120636886|0.111077181|0.107926325|0.105073917|0.102907493,lm100_ls000_le000,lm040_ls040_le020,lm080_ls020_le000,5,0,0,1,0.19183746396762474,0.19233300719603325,1,0.005195343161038868,0.7181818181818181
