runtime_sample_id,source_sample_id,source_matrix,source_path,case_id,terrain_key,world,terrain_family,semantic_prior,style_prior,ramgate_enabled,ramgate_calibrated,ramgate_observed,ram_monitor_observed,ram_ctrl_risk,ram_fallen_prob,ram_recovery_prob,gate_stable_prob,gate_caution_prob,gate_unstable_prob,gate_override_prob,gate_first_action,gate_last_action,calibration_first,calibration_last,training_role,semantic_target,deploy_label,beta_v_target,beta_s_target,beta_e_target,sample_weight,note
tracer_runtime_v0_0010,tracer_v1_neg_0001,negative_v1,data/sanity_results/tracer_fusion_ram_gate_joined_gate_eval_closed_slippery_20260624_151729.csv,gate_eval_closed_slippery_20260624_151729_slippery_mid_downslope_avoid,slippery_mid_downslope_5deg_forward_postfix,tracer_slippery_mid_downslope_5deg,slippery,no_valid_high_level_velocity_primitive,no_deployable_high_level_fallback,True,False,True,True,0.3162,0.5298,0.0,0.0,0.0,0.0,1.0,invalid_or_risky,no_valid_keep,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false
tracer_runtime_v0_0011,tracer_v1_neg_0002,negative_v1,data/sanity_results/tracer_slippery_primitive_v1_compact_latest.csv,slip_primitive_v1_20260623_211152_safe_stop,slippery_primitive_v1_safe_stop,unknown,slippery,unknown,safe_stop,True,False,True,True,0.1584,0.1916,0.0,0.0,0.0,0.0,1.0,invalid_or_risky,keep,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;low_height_min_rel_z=0.127
tracer_runtime_v0_0012,tracer_v1_neg_0003,negative_v1,data/sanity_results/tracer_slippery_primitive_v1_compact_latest.csv,slip_primitive_v1_20260623_211152_active_hold_h031,slippery_primitive_v1_active_hold_h031,unknown,slippery,unknown,active_hold_h031,True,False,True,True,0.8,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.074;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.800
tracer_runtime_v0_0013,tracer_v1_neg_0004,negative_v1,data/sanity_results/tracer_slippery_primitive_v1_compact_latest.csv,slip_primitive_v1_20260623_211152_active_hold_h030,slippery_primitive_v1_active_hold_h030,unknown,slippery,unknown,active_hold_h030,True,False,True,True,0.4574,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: low_height_min_rel_z=0.144;fallen_tail5_high=1.000
tracer_runtime_v0_0014,tracer_v1_neg_0005,negative_v1,data/sanity_results/tracer_slippery_primitive_v1_compact_latest.csv,slip_primitive_v1_20260623_211152_active_hold_h029,slippery_primitive_v1_active_hold_h029,unknown,slippery,unknown,active_hold_h029,True,False,True,True,0.8058000000000001,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.052;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.806
tracer_runtime_v0_0015,tracer_v1_neg_0006,negative_v1,data/sanity_results/tracer_slippery_primitive_v1_compact_latest.csv,slip_primitive_v1_20260623_211152_micro_forward_002,slippery_primitive_v1_micro_forward_002,unknown,slippery,unknown,micro_forward_002,True,False,True,True,0.3404,0.9994,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.109;fallen_tail5_high=0.999
tracer_runtime_v0_0016,tracer_v1_neg_0007,negative_v1,data/sanity_results/tracer_slippery_primitive_v1_compact_latest.csv,slip_primitive_v1_20260623_211152_micro_backstep_002,slippery_primitive_v1_micro_backstep_002,unknown,slippery,unknown,micro_backstep_002,True,False,True,True,0.805,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.073;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.805
tracer_runtime_v0_0017,tracer_v1_neg_0008,negative_v1,data/sanity_results/tracer_slippery_micro_brake_v3_joined_slippery_micro_brake_v3_20260623_232039.csv,slippery_micro_brake_v3_20260623_232039_r1,slippery_micro_brake_v3_downhill_behind_body,tracer_slippery_mid_slope_5deg,slippery,validated_conditional_micro_brake,micro_brake_vx_m0p005_h305_c055,True,False,True,True,0.5,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.500
tracer_runtime_v0_0018,tracer_v1_neg_0009,negative_v1,data/sanity_results/tracer_slippery_micro_brake_v3_joined_slippery_micro_brake_v3_20260623_232039.csv,slippery_micro_brake_v3_20260623_232039_r2,slippery_micro_brake_v3_downhill_behind_body,tracer_slippery_mid_slope_5deg,slippery,validated_conditional_micro_brake,micro_brake_vx_m0p005_h305_c055,True,False,True,True,0.8566,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.078;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.857
tracer_runtime_v0_0019,tracer_v1_neg_0010,negative_v1,data/sanity_results/tracer_slippery_micro_brake_v3_joined_slippery_micro_brake_v3_20260623_232039.csv,slippery_micro_brake_v3_20260623_232039_r3,slippery_micro_brake_v3_downhill_behind_body,tracer_slippery_mid_slope_5deg,slippery,validated_conditional_micro_brake,micro_brake_vx_m0p005_h305_c055,True,False,True,True,0.875,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.074;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.875
tracer_runtime_v0_0020,tracer_v1_neg_0011,negative_v1,data/sanity_results/tracer_slippery_micro_brake_staged_v4_joined_slippery_micro_brake_staged_v4_fixed_20260623_234222.csv,slippery_micro_brake_staged_v4_fixed_20260623_234222_r1,slippery_micro_brake_v3_downhill_behind_body,tracer_slippery_mid_slope_5deg,slippery,candidate_conditional_micro_brake,micro_brake_vx_m0p005_h305_c055,True,False,True,True,0.8908,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.072;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.891
tracer_runtime_v0_0021,tracer_v1_neg_0012,negative_v1,data/sanity_results/tracer_slippery_micro_brake_staged_v4_joined_slippery_micro_brake_staged_v4_fixed_20260623_234222.csv,slippery_micro_brake_staged_v4_fixed_20260623_234222_r2,slippery_micro_brake_v3_downhill_behind_body,tracer_slippery_mid_slope_5deg,slippery,candidate_conditional_micro_brake,micro_brake_vx_m0p005_h305_c055,True,False,True,True,0.494,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: low_height_min_rel_z=0.169;fallen_tail5_high=1.000
tracer_runtime_v0_0022,tracer_v1_neg_0013,negative_v1,data/sanity_results/tracer_slippery_micro_brake_staged_v4_joined_slippery_micro_brake_staged_v4_fixed_20260623_234222.csv,slippery_micro_brake_staged_v4_fixed_20260623_234222_r3,slippery_micro_brake_v3_downhill_behind_body,tracer_slippery_mid_slope_5deg,slippery,candidate_conditional_micro_brake,micro_brake_vx_m0p005_h305_c055,True,False,True,True,0.8002,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.084;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.800
tracer_runtime_v0_0023,tracer_v1_neg_0014,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r1_baseline_active_hold,slippery_true_backstep_v0_active_hold_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_baseline_active_hold_h305_c055,True,False,True,True,0.802,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.075;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.802
tracer_runtime_v0_0024,tracer_v1_neg_0015,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r1_vx_m0003,slippery_micro_backstep_v1_vx_m0p003_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_micro_backstep,micro_backstep_vx_m0p003_h305_c055,True,False,True,True,0.766,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.100;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.766
tracer_runtime_v0_0025,tracer_v1_neg_0016,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r1_vx_m0005,slippery_micro_backstep_v1_vx_m0p005_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_micro_backstep,micro_backstep_vx_m0p005_h305_c055,True,False,True,True,0.5836,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: low_height_min_rel_z=0.136;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.584
tracer_runtime_v0_0026,tracer_v1_neg_0017,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r2_baseline_active_hold,slippery_true_backstep_v0_active_hold_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_baseline_active_hold_h305_c055,True,False,True,True,0.8032,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.079;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.803
tracer_runtime_v0_0027,tracer_v1_neg_0018,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r2_vx_m0003,slippery_micro_backstep_v1_vx_m0p003_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_micro_backstep,micro_backstep_vx_m0p003_h305_c055,True,False,True,True,0.8076,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.075;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.808
tracer_runtime_v0_0028,tracer_v1_neg_0019,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r2_vx_m0005,slippery_micro_backstep_v1_vx_m0p005_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_micro_backstep,micro_backstep_vx_m0p005_h305_c055,True,False,True,True,0.6414,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: low_height_min_rel_z=0.127;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.641
tracer_runtime_v0_0029,tracer_v1_neg_0020,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r3_baseline_active_hold,slippery_true_backstep_v0_active_hold_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_baseline_active_hold_h305_c055,True,False,True,True,0.5,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.106;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.500
tracer_runtime_v0_0030,tracer_v1_neg_0021,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r3_vx_m0003,slippery_micro_backstep_v1_vx_m0p003_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_micro_backstep,micro_backstep_vx_m0p003_h305_c055,True,False,True,True,0.8946000000000001,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.082;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.895
tracer_runtime_v0_0031,tracer_v1_neg_0022,negative_v1,data/sanity_results/tracer_micro_backstep_top2_repeat_joined_micro_backstep_top2_repeat_v1_20260623_230155.csv,micro_backstep_top2_repeat_v1_20260623_230155_r3_vx_m0005,slippery_micro_backstep_v1_vx_m0p005_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_micro_backstep,micro_backstep_vx_m0p005_h305_c055,True,False,True,True,0.5242,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: low_height_min_rel_z=0.129;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.524
tracer_runtime_v0_0032,tracer_v1_neg_0023,negative_v1,data/sanity_results/tracer_true_backstep_top1_repeat_joined_true_backstep_top1_repeat_v0_20260623_223809.csv,true_backstep_top1_repeat_v0_20260623_223809_r1_active_hold,slippery_true_backstep_v0_active_hold_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_baseline_active_hold_h305_c055,True,False,True,True,0.502,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: low_height_min_rel_z=0.155;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.502
tracer_runtime_v0_0033,tracer_v1_neg_0024,negative_v1,data/sanity_results/tracer_true_backstep_top1_repeat_joined_true_backstep_top1_repeat_v0_20260623_223809.csv,true_backstep_top1_repeat_v0_20260623_223809_r1_vx_m002,slippery_true_backstep_v0_vx_m002_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_vx_m002_h305_c055,True,False,True,True,0.8018000000000001,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.072;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.802
tracer_runtime_v0_0034,tracer_v1_neg_0025,negative_v1,data/sanity_results/tracer_true_backstep_top1_repeat_joined_true_backstep_top1_repeat_v0_20260623_223809.csv,true_backstep_top1_repeat_v0_20260623_223809_r2_active_hold,slippery_true_backstep_v0_active_hold_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_baseline_active_hold_h305_c055,True,False,True,True,0.6538,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.117;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.654
tracer_runtime_v0_0035,tracer_v1_neg_0026,negative_v1,data/sanity_results/tracer_true_backstep_top1_repeat_joined_true_backstep_top1_repeat_v0_20260623_223809.csv,true_backstep_top1_repeat_v0_20260623_223809_r2_vx_m002,slippery_true_backstep_v0_vx_m002_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_vx_m002_h305_c055,True,False,True,True,0.4134,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.087;fallen_tail5_high=1.000
tracer_runtime_v0_0036,tracer_v1_neg_0027,negative_v1,data/sanity_results/tracer_true_backstep_top1_repeat_joined_true_backstep_top1_repeat_v0_20260623_223809.csv,true_backstep_top1_repeat_v0_20260623_223809_r3_active_hold,slippery_true_backstep_v0_active_hold_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_baseline_active_hold_h305_c055,True,False,True,True,0.8230000000000001,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.078;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.823
tracer_runtime_v0_0037,tracer_v1_neg_0028,negative_v1,data/sanity_results/tracer_true_backstep_top1_repeat_joined_true_backstep_top1_repeat_v0_20260623_223809.csv,true_backstep_top1_repeat_v0_20260623_223809_r3_vx_m002,slippery_true_backstep_v0_vx_m002_h305_c055,tracer_slippery_mid_slope_5deg,slippery,primitive_eval_true_backstep,true_backstep_vx_m002_h305_c055,True,False,True,True,0.836,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.068;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.836
tracer_runtime_v0_0038,tracer_v1_neg_0029,negative_v1,data/sanity_results/tracer_slippery_active_hold_top2_joined_slip_active_hold_top2_v2_20260623_215051.csv,slip_active_hold_top2_v2_20260623_215051_r1_h300_c050,slippery_active_hold_v2_h300_c050,tracer_slippery_mid_downslope_5deg,slippery,primitive_eval,active_hold_h300_c050,True,False,True,True,0.2104,0.264,0.0,0.0,0.0,0.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: low_height_min_rel_z=0.148
tracer_runtime_v0_0039,tracer_v1_neg_0030,negative_v1,data/sanity_results/tracer_slippery_active_hold_top2_joined_slip_active_hold_top2_v2_20260623_215051.csv,slip_active_hold_top2_v2_20260623_215051_r2_h300_c050,slippery_active_hold_v2_h300_c050,tracer_slippery_mid_downslope_5deg,slippery,primitive_eval,active_hold_h300_c050,True,False,True,True,0.8180000000000001,1.0,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: valid_locomotion_false;fallen_true;low_height_min_rel_z=0.072;fallen_tail5_high=1.000;ctrl_ema_tail5_high=0.818
tracer_runtime_v0_0040,tracer_v1_neg_0031,negative_v1,data/sanity_results/tracer_slippery_active_hold_top2_joined_slip_active_hold_top2_v2_20260623_215051.csv,slip_active_hold_top2_v2_20260623_215051_r2_h305_c055,slippery_active_hold_v2_h305_c055,tracer_slippery_mid_downslope_5deg,slippery,primitive_eval,active_hold_h305_c055,True,False,True,True,0.219,0.796,0.0,0.0,0.0,1.0,1.0,invalid_or_risky,would_conservative_probe,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: fallen_tail5_high=0.796
tracer_runtime_v0_0041,tracer_v1_neg_0032,negative_v1,data/sanity_results/tracer_slippery_active_hold_top2_joined_slip_active_hold_top2_v2_20260623_215051.csv,slip_active_hold_top2_v2_20260623_215051_r3_h305_c055,slippery_active_hold_v2_h305_c055,tracer_slippery_mid_downslope_5deg,slippery,primitive_eval,active_hold_h305_c055,True,False,True,True,0.0314,0.0008,0.0,0.0,0.0,0.0,1.0,invalid_or_risky,keep,,,invalid_or_risky,no_valid_forward_recovery_needed,do_not_deploy_forward,0.1,0.75,0.15,1.0,high_confidence_negative: low_height_min_rel_z=0.147
