context_id,group,terrain,seed,pareto_candidate_count,utopia_l2_selected_source_beta,utopia_l2_ambiguous,utopia_l2_best_score,utopia_l2_score_gap,chebyshev_selected_source_beta,chebyshev_ambiguous,chebyshev_best_score,chebyshev_score_gap,rules_agree
low_friction_train:low_friction:27214,low_friction_train,low_friction,27214,4,motion,0,0.052721543027896105,0.01412060906650759,motion,0,0.09131639117774476,0.010313373776604712,1
low_friction_train:low_friction:27215,low_friction_train,low_friction,27215,4,motion,0,0.03203369196064577,0.025817295524096943,motion,0,0.055483982029849145,0.0412728215355185,1
low_friction_train:low_friction:27216,low_friction_train,low_friction,27216,4,motion,0,0.02208592771070105,0.03668793400778361,motion,0,0.038246809836413445,0.06264262316570908,1
low_friction_train:low_friction:27217,low_friction_train,low_friction,27217,4,motion,0,0.024643500907886123,0.030874478253207892,motion,0,0.042683795648828515,0.04959414288759166,1
rough_train:rough_perlin:0,rough_train,rough_perlin,0,4,motion,0,0.06205895098819278,0.027737070507002984,motion,0,0.10571312189609638,0.04784185347082942,1
rough_train:rough_perlin:10,rough_train,rough_perlin,10,4,motion,0,0.03872603996508092,0.05080723571625298,motion,0,0.06564497874765517,0.08347103496237555,1
rough_train:rough_perlin:11,rough_train,rough_perlin,11,4,motion,0,0.05319154444066669,0.05021636761442494,motion,0,0.08994861020314858,0.08851686568615312,1
rough_train:rough_perlin:12,rough_train,rough_perlin,12,3,motion,0,0.012901680769299876,0.08870321930235389,motion,0,0.022346366595461704,0.1490515807640241,1
rough_train:rough_perlin:13,rough_train,rough_perlin,13,4,balanced,0,0.0942456953500692,0.002819315489839186,balanced,0,0.15815692369539527,0.009964606716549862,1
rough_train:rough_perlin:15,rough_train,rough_perlin,15,3,motion,0,0.037978369145573815,0.01593642603236997,motion,0,0.05832216048684233,0.03387433152807262,1
rough_train:rough_perlin:17,rough_train,rough_perlin,17,4,motion,0,0.029474590268749865,0.061575823989249726,motion,0,0.051047102358886425,0.10216741661917403,1
rough_train:rough_perlin:18,rough_train,rough_perlin,18,4,motion,0,0.02411918096965011,0.07163391948894063,motion,0,0.04177564687638237,0.12130446979279826,1
rough_train:rough_perlin:20,rough_train,rough_perlin,20,4,motion,0,0.05752453067119017,0.0680675383279905,motion,0,0.09528376863731168,0.12041712071198067,1
rough_train:rough_perlin:22,rough_train,rough_perlin,22,4,motion,0,0.049165750437524865,0.047368763674328775,motion,0,0.0829453050689547,0.06846128870392923,1
rough_train:rough_perlin:25,rough_train,rough_perlin,25,4,motion,0,0.04594344907615144,0.024964009007376754,motion,0,0.07493146949029175,0.03456156852866857,1
rough_train:rough_perlin:28,rough_train,rough_perlin,28,4,motion,0,0.030893527293502174,0.019445700804439293,motion,0,0.05350915889736159,0.030394915599606012,1
rough_train:rough_perlin:29,rough_train,rough_perlin,29,3,motion,0,0.043833090112026574,0.03755672430106921,motion,0,0.07592113912677499,0.06203755159070988,1
rough_train:rough_perlin:4,rough_train,rough_perlin,4,4,motion,0,0.027526734401816178,0.05770255399425053,motion,0,0.04767770255039971,0.09917309834838156,1
rough_train:rough_perlin:5,rough_train,rough_perlin,5,4,motion,0,0.08198023428429405,0.036640581613550355,motion,0,0.14111084439640106,0.01400919296250494,1
rough_train:rough_perlin:6,rough_train,rough_perlin,6,4,motion,0,0.033324766982130195,0.062424608661895246,motion,0,0.05762468501221927,0.1059788285376338,1
rough_train:rough_perlin:7,rough_train,rough_perlin,7,4,motion,0,0.07603314304064228,0.023025953968704715,motion,0,0.12998222258996328,0.025245949013328273,1
rough_train:rough_perlin:8,rough_train,rough_perlin,8,3,motion,0,0.0015534176808020296,0.0995164652572123,motion,0,0.0023138159110880512,0.1724802226802573,1
