terrain,mission,risk_level,target_style,pred_style,pred_conf,p_fast,p_cautious,p_high_clearance
slope_5deg,deploy,mid,high_clearance,high_clearance,0.9999908767019715,5.2082510977763274e-06,3.915046930623131e-06,0.9999908767019715
slope_5deg,deploy,high,high_clearance,high_clearance,0.9999947445202434,1.800734079727089e-06,3.454745676941179e-06,0.9999947445202434
slope_5deg,stability,low,fast,fast,0.9996104687095675,0.9996104687095675,0.00033709508074244505,5.243620969007549e-05
slope_5deg,stability,mid,high_clearance,high_clearance,0.9903341200856912,0.0009047922683187892,0.008761087645989941,0.9903341200856912
slope_5deg,stability,high,high_clearance,high_clearance,0.9919431076924926,0.0003133357098728056,0.0077435565976345325,0.9919431076924926
sponge_firm_downslope_5deg_forward,motion,low,fast,fast,0.9914271528380492,0.9914271528380492,0.008572370474026331,4.766879245750888e-07
sponge_firm_downslope_5deg_forward,motion,mid,cautious,cautious,0.9985742800575504,5.3098871631216456e-08,0.9985742800575504,0.0014256668435780409
sponge_firm_downslope_5deg_forward,motion,high,cautious,cautious,0.9983846607863255,2.080086409213387e-08,0.9983846607863255,0.0016153184128103876
sponge_firm_downslope_5deg_forward,deploy,low,cautious,cautious,0.9642187398605476,0.03577604228158725,0.9642187398605476,5.217857865100269e-06
sponge_firm_downslope_5deg_forward,deploy,mid,cautious,cautious,0.9987623775683306,2.6618998823402797e-08,0.9987623775683306,0.0012375958126704968
sponge_firm_downslope_5deg_forward,deploy,high,cautious,cautious,0.998597725524224,1.0427943639039177e-08,0.998597725524224,0.0014022640478323456
sponge_firm_downslope_5deg_forward,stability,low,cautious,cautious,0.9999405936735197,5.9405571890981665e-05,0.9999405936735197,7.545893430560878e-10
sponge_firm_downslope_5deg_forward,stability,mid,cautious,cautious,0.9999994495516565,2.069022519203867e-09,0.9999994495516565,5.483793208884477e-07
sponge_firm_downslope_5deg_forward,stability,high,cautious,cautious,0.9999993777430283,8.106693371602808e-10,0.9999993777430283,6.214463024691979e-07
