source_phase,mode,idx,mode_family,candidate_theta_desc,status,goal_reached,final_x,final_y,max_abs_y,mean_abs_y,risk_score_lower_better,active_used,j7_accepted,j7_projected,j7_failsafe,flat_rows,flat_accepted,flat_accept_rate,decision,decision_reason,manifest,d5_log_dir,j7_csv,run_dir
K4C,flat_noop,3,flat_micro_action,flat theta no-op,ok,1,8.232712,-0.43501,0.44357,0.230737,0.5589385,1,458.0,458.0,7.0,460.0,458.0,0.9956521739130435,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_173702_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_173702_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_noop
K4C,flat_slow03,3,flat_micro_action,flat vx_scale 0.97,ok,1,7.950432,-0.167669,0.174245,0.07639,0.21244000000000002,1,471.0,471.0,8.0,472.0,471.0,0.9978813559322034,shadow_only,improves_max_abs_y_only_but_worsens_mean_abs_y,reports/phase_d4_context_meta_repeat_20260723_174147_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_174147_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03
K4C,flat_clear03,3,flat_micro_action,flat clearance +0.003,ok,1,8.117569,-0.309984,0.409428,0.226365,0.5226105,1,454.0,454.0,7.0,455.0,454.0,0.9978021978021978,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_174633_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_174633_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_clear03
K4C,flat_slow03_clear03,3,flat_micro_action,flat vx_scale 0.97 + clearance +0.003,ok,1,8.15376,0.207354,0.241698,0.097864,0.29063,1,474.0,474.0,8.0,475.0,474.0,0.9978947368421053,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_175119_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_175119_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03_clear03
K4C,baseline,4,empirical_baseline,empirical_D7_D6_gated,ok,1,8.041471,0.244558,0.244558,0.065498,0.27730699999999997,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260723_175612_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_175612_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_baseline
K4C,flat_noop,4,flat_micro_action,flat theta no-op,nonzero_exit,0,,,,,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_180107_manifest.tsv,,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_noop
K4C,flat_slow03,4,flat_micro_action,flat vx_scale 0.97,ok,1,8.203701,0.062147,0.273044,0.12243,0.33425900000000003,1,447.0,447.0,6.0,448.0,447.0,0.9977678571428571,shadow_only,improves_max_abs_y_only_but_worsens_mean_abs_y,reports/phase_d4_context_meta_repeat_20260723_180212_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_180212_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_slow03
K4C,flat_clear03,4,flat_micro_action,flat clearance +0.003,ok,1,8.012594,-0.499449,0.550439,0.31674,0.708809,1,446.0,446.0,7.0,447.0,446.0,0.9977628635346756,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_180707_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_180707_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_clear03
K4C,flat_slow03_clear03,4,flat_micro_action,flat vx_scale 0.97 + clearance +0.003,ok,1,7.992806,-0.565839,0.769346,0.380733,0.9597125,1,446.0,446.0,7.0,447.0,446.0,0.9977628635346756,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_181152_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_181152_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_slow03_clear03
K4C,baseline,5,empirical_baseline,empirical_D7_D6_gated,ok,1,8.185383,-0.124848,0.250232,0.117853,0.3091585,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260723_181645_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_181645_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_baseline
K4C,flat_noop,5,flat_micro_action,flat theta no-op,ok,1,8.128056,-0.423753,0.454667,0.189945,0.5496395,1,452.0,452.0,7.0,453.0,452.0,0.9977924944812362,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_182130_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_182130_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_noop
K4C,flat_slow03,5,flat_micro_action,flat vx_scale 0.97,ok,1,8.191953,-0.370798,0.462906,0.261107,0.5934595,1,462.0,462.0,7.0,463.0,462.0,0.9978401727861771,shadow_only,improves_max_abs_y_only_but_worsens_mean_abs_y,reports/phase_d4_context_meta_repeat_20260723_182626_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_182626_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_slow03
K4C,flat_clear03,5,flat_micro_action,flat clearance +0.003,ok,1,8.123902,0.186756,0.200198,0.110357,0.2553765,1,444.0,444.0,7.0,444.0,444.0,1.0,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_183122_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_183122_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_clear03
K4C,flat_slow03_clear03,5,flat_micro_action,flat vx_scale 0.97 + clearance +0.003,ok,1,8.026923,-0.558737,0.565538,0.205208,0.668142,1,470.0,470.0,6.0,471.0,470.0,0.9978768577494692,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_183607_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_183607_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_slow03_clear03
K4C,baseline,6,empirical_baseline,empirical_D7_D6_gated,ok,1,8.11259,-0.140302,0.199063,0.069632,0.233879,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260723_184100_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_184100_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_baseline
K4C,flat_noop,6,flat_micro_action,flat theta no-op,ok,1,8.12866,-0.396173,0.401141,0.129324,0.465803,1,454.0,454.0,6.0,455.0,454.0,0.9978021978021978,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_184545_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_184545_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_noop
K4C,flat_slow03,6,flat_micro_action,flat vx_scale 0.97,ok,1,8.079815,-0.138621,0.317054,0.132806,0.383457,1,458.0,458.0,7.0,458.0,458.0,1.0,shadow_only,improves_max_abs_y_only_but_worsens_mean_abs_y,reports/phase_d4_context_meta_repeat_20260723_185041_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_185041_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_slow03
K4C,flat_clear03,6,flat_micro_action,flat clearance +0.003,ok,1,8.117581,-0.5607,0.563978,0.314734,0.721345,1,438.0,438.0,7.0,439.0,438.0,0.9977220956719818,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_185526_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_185526_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_clear03
