pref_type,world,reset_y,goal_x,preferred_idx,rejected_idx,preferred_dims,rejected_dims,preferred_score,rejected_score,score_diff,preferred_success,rejected_success,preferred_goal,rejected_goal,preferred_final_y,rejected_final_y,preferred_path_max_abs_y,rejected_path_max_abs_y,preferred_path_mean_abs_y,rejected_path_mean_abs_y,preferred_moving_accept_rate,rejected_moving_accept_rate,preferred_beta_motion,preferred_beta_stability,preferred_beta_energy,rejected_beta_motion,rejected_beta_stability,rejected_beta_energy,preferred_manifest,rejected_manifest,preferred_d5_log_dir,rejected_d5_log_dir
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,7,5,False/False/True,True/False/True,6.168609231779856,5.336320003193359,0.8322892285864967,1,1,1,1,0.183264746,0.664389687,0.198682501,0.667301953,0.08106945997811726,0.28582571604509494,0.9943278502552467,0.9596290234588107,0.3259869680660611,0.42898462239760526,0.24502840952146987,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_192832_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192832_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,8,5,False/False/True,True/False/True,5.963668689492384,5.336320003193359,0.6273486862990252,1,1,1,1,-0.258636898,0.664389687,0.321473918,0.667301953,0.14412553860115368,0.28582571604509494,0.9932241671372106,0.9596290234588107,0.3208979420498558,0.44284962408199424,0.23625243386485373,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,9,5,False/False/True,True/False/True,5.629886957864524,5.336320003193359,0.29356695467116456,1,1,1,1,-0.503370892,0.664389687,0.517949526,0.667301953,0.20932929799258038,0.28582571604509494,0.9927777777777778,0.9596290234588107,0.3080224039286892,0.4691904886830173,0.22278710738994228,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_2,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,10,5,False/False/True,True/False/True,5.575872919830052,5.336320003193359,0.23955291663669254,1,1,1,1,-0.442775134,0.664389687,0.500839287,0.667301953,0.3307266829719588,0.28582571604509494,0.9939159292035398,0.9596290234588107,0.30573590911876286,0.4705834882243299,0.2236806026441237,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_3,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,7,6,False/False/True,False/True/True,6.168609231779856,5.622316653208037,0.5462925785718191,1,1,1,1,0.183264746,0.473933466,0.198682501,0.505080384,0.08106945997811726,0.24361184922112342,0.9943278502552467,0.9939527212754261,0.3259869680660611,0.42898462239760526,0.24502840952146987,0.30157495472943036,0.4762893269454114,0.22213571834414558,reports/phase_d4_context_meta_repeat_20260720_192832_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192832_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,8,6,False/False/True,False/True/True,5.963668689492384,5.622316653208037,0.3413520362843476,1,1,1,1,-0.258636898,0.473933466,0.321473918,0.505080384,0.14412553860115368,0.24361184922112342,0.9932241671372106,0.9939527212754261,0.3208979420498558,0.44284962408199424,0.23625243386485373,0.30157495472943036,0.4762893269454114,0.22213571834414558,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,6,10,False/True/True,False/False/True,5.622316653208037,5.575872919830052,0.04644373337798502,1,1,1,1,0.473933466,-0.442775134,0.505080384,0.500839287,0.24361184922112342,0.3307266829719588,0.9939527212754261,0.9939159292035398,0.30157495472943036,0.4762893269454114,0.22213571834414558,0.30573590911876286,0.4705834882243299,0.2236806026441237,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_3
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,6,3,False/True/True,True/True/True,5.118574609338697,4.959041341207294,0.159533268131403,1,1,1,1,0.473933466,0.69381794,0.505080384,0.69381794,0.24361184922112342,0.22194747996818182,0.9939527212754261,0.9288493607559756,0.30157495472943036,0.4762893269454114,0.22213571834414558,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,7,3,False/False/True,True/True/True,5.397410566241817,4.959041341207294,0.43836922503452325,1,1,1,1,0.183264746,0.69381794,0.198682501,0.69381794,0.08106945997811726,0.22194747996818182,0.9943278502552467,0.9288493607559756,0.3259869680660611,0.42898462239760526,0.24502840952146987,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_192832_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192832_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,8,3,False/False/True,True/True/True,5.289272346639386,4.959041341207294,0.3302310054320925,1,1,1,1,-0.258636898,0.69381794,0.321473918,0.69381794,0.14412553860115368,0.22194747996818182,0.9932241671372106,0.9288493607559756,0.3208979420498558,0.44284962408199424,0.23625243386485373,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,9,3,False/False/True,True/True/True,5.118452621619801,4.959041341207294,0.15941128041250785,1,1,1,1,-0.503370892,0.69381794,0.517949526,0.69381794,0.20932929799258038,0.22194747996818182,0.9927777777777778,0.9288493607559756,0.3080224039286892,0.4691904886830173,0.22278710738994228,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_2,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,10,3,False/False/True,True/True/True,5.0778706346512505,4.959041341207294,0.11882929344395698,1,1,1,1,-0.442775134,0.69381794,0.500839287,0.69381794,0.3307266829719588,0.22194747996818182,0.9939159292035398,0.9288493607559756,0.30573590911876286,0.4705834882243299,0.2236806026441237,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_3,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,6,5,False/True/True,True/False/True,5.118574609338697,4.9699227902628,0.14865181907589697,1,1,1,1,0.473933466,0.664389687,0.505080384,0.667301953,0.24361184922112342,0.28582571604509494,0.9939527212754261,0.9596290234588107,0.30157495472943036,0.4762893269454114,0.22213571834414558,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,7,5,False/False/True,True/False/True,5.397410566241817,4.9699227902628,0.4274877759790172,1,1,1,1,0.183264746,0.664389687,0.198682501,0.667301953,0.08106945997811726,0.28582571604509494,0.9943278502552467,0.9596290234588107,0.3259869680660611,0.42898462239760526,0.24502840952146987,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_192832_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192832_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,8,5,False/False/True,True/False/True,5.289272346639386,4.9699227902628,0.31934955637658646,1,1,1,1,-0.258636898,0.664389687,0.321473918,0.667301953,0.14412553860115368,0.28582571604509494,0.9932241671372106,0.9596290234588107,0.3208979420498558,0.44284962408199424,0.23625243386485373,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,9,5,False/False/True,True/False/True,5.118452621619801,4.9699227902628,0.14852983135700182,1,1,1,1,-0.503370892,0.664389687,0.517949526,0.667301953,0.20932929799258038,0.28582571604509494,0.9927777777777778,0.9596290234588107,0.3080224039286892,0.4691904886830173,0.22278710738994228,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_2,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,10,5,False/False/True,True/False/True,5.0778706346512505,4.9699227902628,0.10794784438845095,1,1,1,1,-0.442775134,0.664389687,0.500839287,0.667301953,0.3307266829719588,0.28582571604509494,0.9939159292035398,0.9596290234588107,0.30573590911876286,0.4705834882243299,0.2236806026441237,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_3,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,7,6,False/False/True,False/True/True,5.397410566241817,5.118574609338697,0.27883595690312024,1,1,1,1,0.183264746,0.473933466,0.198682501,0.505080384,0.08106945997811726,0.24361184922112342,0.9943278502552467,0.9939527212754261,0.3259869680660611,0.42898462239760526,0.24502840952146987,0.30157495472943036,0.4762893269454114,0.22213571834414558,reports/phase_d4_context_meta_repeat_20260720_192832_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192832_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,8,6,False/False/True,False/True/True,5.289272346639386,5.118574609338697,0.1706977373006895,1,1,1,1,-0.258636898,0.473933466,0.321473918,0.505080384,0.14412553860115368,0.24361184922112342,0.9932241671372106,0.9939527212754261,0.3208979420498558,0.44284962408199424,0.23625243386485373,0.30157495472943036,0.4762893269454114,0.22213571834414558,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,6,10,False/True/True,False/False/True,5.118574609338697,5.0778706346512505,0.04070397468744602,1,1,1,1,0.473933466,-0.442775134,0.505080384,0.500839287,0.24361184922112342,0.3307266829719588,0.9939527212754261,0.9939159292035398,0.30157495472943036,0.4762893269454114,0.22213571834414558,0.30573590911876286,0.4705834882243299,0.2236806026441237,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_3
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,0.3,8.0,4,11,True/True/True,False/False/True,6.346410055502819,6.02590438066459,0.32050567483822867,1,1,1,1,0.082258329,-0.007840533,0.085853206,0.326506336,0.03397188555165289,0.12774713775148397,0.9954571266325951,0.9945385035499726,0.33063392899958677,0.42583768787190085,0.24352838314338843,0.3164834972497032,0.45102017860269095,0.23249632414602295,reports/phase_d4_context_meta_repeat_20260720_164714_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_223320_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_164714_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_223320_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,0.3,8.0,4,11,True/True/True,False/False/True,5.490798576774354,5.326291590345406,0.16450698642894857,1,1,1,1,0.082258329,-0.007840533,0.085853206,0.326506336,0.03397188555165289,0.12774713775148397,0.9954571266325951,0.9945385035499726,0.33063392899958677,0.42583768787190085,0.24352838314338843,0.3164834972497032,0.45102017860269095,0.23249632414602295,reports/phase_d4_context_meta_repeat_20260720_164714_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_223320_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_164714_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_223320_trial_1
